Address,Value,Soft Miss,Hard Miss, Hit, Evicted Page, Dirty Bit
D302,34,1,1,0,114,0
CB8B,77,1,1,0,150,0
FA5B,89,1,1,0,153,1
B75E,248,1,1,0,155,1
82A8,154,1,1,0,157,0
CE66,158,1,1,0,161,0
BF98,156,1,1,0,173,1
8034,24,1,1,0,183,0
A0BA,115,1,1,0,189,0
0778,21,1,1,0,195,1
8EA8,33,1,1,0,203,1
6CBA,246,1,1,0,204,0
FA8C,198,1,0,1,0,0
7F0D,40,1,1,0,206,0
E44E,149,1,1,0,211,1
CB31,79,1,1,0,235,0
407D,40,1,1,0,237,1
7729,160,1,1,0,239,0
3285,34,1,1,0,241,0
3CD5,93,1,1,0,250,0
2A6E,175,1,1,0,7,1
45DC,246,1,1,0,48,0
D3E7,4,1,1,0,105,0
4C8B,15,1,1,0,108,0
8F49,77,1,1,0,127,0
645B,65,1,1,0,128,0
49F2,178,1,1,0,130,0
7C30,228,1,1,0,142,0
718B,64,1,1,0,143,0
C7F2,33,1,1,0,160,0
4416,20,1,1,0,191,0
7056,65,1,1,0,203,1
F2CB,110,1,1,0,211,0
B92F,151,1,1,0,228,0
E50B,236,1,1,0,42,1
DD87,44,1,1,0,50,0
28B3,218,1,1,0,60,0
A88F,162,1,1,0,64,0
F7FE,184,1,1,0,68,0
36AE,189,1,1,0,69,1
ADCA,232,1,1,0,73,0
5FBD,34,1,1,0,76,0
C34A,43,1,1,0,100,0
0DA3,207,1,1,0,112,0
BD5E,192,1,1,0,113,0
D79D,67,1,1,0,119,0
77C1,23,1,1,0,124,0
5528,178,1,1,0,168,1
1FCB,139,1,1,0,173,0
F517,111,1,1,0,185,0
55CB,69,1,0,1,0,0
E7B1,166,1,1,0,189,0
C8C9,64,1,1,0,195,0
8B89,187,1,1,0,199,1
E176,12,1,1,0,215,1
9B42,139,1,1,0,221,0
EE2B,236,1,1,0,225,0
FC2A,99,1,1,0,229,0
49E2,143,1,1,0,231,0
384F,181,1,1,0,242,0
6947,135,1,1,0,245,0
8C2E,141,1,1,0,247,0
6542,167,1,1,0,13,0
272F,220,1,1,0,31,0
03EF,99,1,1,0,40,0
2CF4,0,1,1,0,54,1
6A88,67,1,1,0,56,0
6147,119,1,1,0,73,0
79DD,69,1,1,0,85,1
F3AF,138,1,1,0,95,0
E45B,177,1,1,0,101,0
3A88,0,1,1,0,105,0
7BC9,54,1,1,0,119,0
B820,96,1,1,0,139,0
0EC6,17,1,1,0,140,1
791C,220,1,0,1,0,0
69F2,235,1,1,0,155,0
F374,33,1,0,1,0,0
CC1C,72,1,1,0,184,0
64F3,14,1,1,0,200,0
62AE,81,1,1,0,228,0
BC5F,112,1,1,0,238,0
5E04,234,1,1,0,252,1
33CE,166,1,1,0,3,0
68EE,91,1,1,0,14,0
6F59,85,1,1,0,39,0
F7CB,206,1,1,0,44,0
7E04,33,1,1,0,51,1
E347,42,1,1,0,58,0
A581,43,1,1,0,94,0
7535,19,1,1,0,97,1
4855,98,1,1,0,98,1
DE28,68,1,1,0,100,1
6CF7,229,1,1,0,104,1
8E38,25,1,1,0,105,0
A507,164,1,0,1,0,0
5BC3,107,1,1,0,106,0
EB46,64,1,1,0,108,0
74F0,142,1,1,0,111,0
CB6E,175,1,1,0,117,0
D3DE,28,1,1,0,121,0
3173,32,1,1,0,123,0
8A9F,120,1,1,0,126,1
C39D,196,1,1,0,142,0
EF3B,228,1,1,0,165,0
C38B,100,1,0,1,0,0
1E5F,8,1,1,0,188,0
BBA0,82,1,1,0,195,0
8062,87,1,1,0,203,1
BB73,210,1,0,1,0,0
EF39,34,1,0,1,0,0
FFE9,103,1,1,0,204,0
61E4,250,1,1,0,211,1
F209,80,1,1,0,222,1
5B6D,1,1,0,1,0,0
FAD9,8,1,1,0,227,0
6E27,179,1,1,0,235,0
31EE,255,1,0,1,0,0
24E8,93,1,1,0,239,0
E9DE,148,1,1,0,242,1
747F,154,1,0,1,0,0
